Name,Address,Zip Code,Google Maps URL
Tri-State Holiness Association,"55 Campmeeting Rd, Clinton, PA 15026, USA",15026,https://www.google.com/maps/place/?q=place_id:ChIJSaLeARdDNIgRTlT49zHavAk
Yough Shore Inn,"1403 Boston Hollow Rd, McKeesport, PA 15135, USA",15135,https://www.google.com/maps/place/?q=place_id:ChIJoW4ekYDmNIgRzG7b_elLKzA
Camp Guyasuta - Boy Scouts of America,"300 23rd St Ext, Sharpsburg, PA 15215, USA",15215,https://www.google.com/maps/place/?q=place_id:ChIJ1a6AjlztNIgRv8-425ki_4c
Cecil Henderson Montour Trail Campground,"Hickman St, Bridgeville, PA 15017, USA",15017,https://www.google.com/maps/place/?q=place_id:ChIJJbF44btWNIgR_ZZmyhZ6GUk
Montour Trail Boggs Campsite,"Imperial, PA 15126, USA",15126,https://www.google.com/maps/place/?q=place_id:ChIJNdQ2LNpENIgRmg6O3kc13wc
Cedar Creek Trekker Campground,"Smithton, PA 15479, USA",15479,https://www.google.com/maps/place/?q=place_id:ChIJZQtZut4fNYgRlx3jNgS6wIs
Raccoon Creek State Park Campground,"Clinton, PA 15026, USA",15026,https://www.google.com/maps/place/?q=place_id:ChIJTzmkRdxANIgRSJeRF8sUdpc
Hart's Content Campground,"496 Glendale Rd, Beaver Falls, PA 15010, USA",15010,https://www.google.com/maps/place/?q=place_id:ChIJTUp6OCB6NIgRUg9HBcYnY0c
Buttercup Woodlands Campground,"854 Evans City Rd, Renfrew, PA 16053, USA",16053,https://www.google.com/maps/place/?q=place_id:ChIJox5RV4t9M4gRRriyeF5g_dA
Madison / Pittsburgh S.E. KOA Journey,"764 Waltz Ml Rd, Ruffs Dale, PA 15679, USA",15679,https://www.google.com/maps/place/?q=place_id:ChIJC6BXztreNIgRR2kzpW2eTfs
Pine Cove Beach Club & RV Resort,"1495 Rte 481, Charleroi, PA 15022, USA",15022,https://www.google.com/maps/place/?q=place_id:ChIJf4s9MHcDNYgRbiHF9XmWnJQ
Washington / Pittsburgh SW KOA Journey,"7 KOA Rd, Washington, PA 15301, USA",15301,https://www.google.com/maps/place/?q=place_id:ChIJf8TQx3KsNYgRdbwipqCjx3c
Whispering Pines Family,"1969 Henderson Ave, Washington, PA 15301, USA",15301,https://www.google.com/maps/place/?q=place_id:ChIJfyJOEkhNNIgRVJKXxMGBEDI
Fox Den Acres Campgrounds,"390 Wilson Fox Rd, New Stanton, PA 15672, USA",15672,https://www.google.com/maps/place/?q=place_id:ChIJUXwoaQbZNIgRHRn0TbYqF04
Faulk Campground,"Thornburg, PA 15205, USA",15205,https://www.google.com/maps/place/?q=place_id:ChIJe7DLKgD3NIgRR3nSgDI_lxc
Montour Trail Campground,"4500 Peters Creek Rd, South Park Township, PA 15129, USA",15129,https://www.google.com/maps/place/?q=place_id:ChIJv-MUi4L8NIgRDzZV-yQeJro
Henry's Camping spot,"HRHR+W6, Bell Acres, PA 15143, USA",15143,https://www.google.com/maps/place/?q=place_id:ChIJvy6X1bZhNIgRnx1KGj9agvQ
Queen Aliquippa Camp,"1103 Henderson Rd, Buena Vista, PA 15018, USA",15018,https://www.google.com/maps/place/?q=place_id:ChIJx44gZjDnNIgRu1mwER76XCU
Gap Trail Campground LLC,"234 Collinsburg Rd, West Newton, PA 15089, USA",15089,https://www.google.com/maps/place/?q=place_id:ChIJQ3AC0r3hNIgR2XP5IBXbd4I
Cedar Creek Park Scout Camping Area,"56GH+RP, Smithton, PA 15479, USA",15479,https://www.google.com/maps/place/?q=place_id:ChIJrdTJi38fNYgRa_0eSsLfk_E
